URL,Country name,City,Settlement,Established,Last updated,History,Priorities,Population,Structures,Eviction,Status,Total number of toilets seats,Toilet wrk,Working toilet seats to people,Types of toilets,Water tot,Water wrk,Water pp,Electric,Water Cost,Trash pw,Trash location,Road type,Trans type,Saving tot,Lead,Lead freq,City Relat,City freq,Diseases,Acc Clin,Time Clin,Acc aids,Time aids,Acc hosp,Time hosp,Facilities
https://sdinet.org/settlement/163997/10366684,Namibia,Mariental,Soetdoringlaagte,1980,14-01-2018,"History: We worked on the farms until it was sold, then we came here. Mr Appolus from the Village Council gave us the land.","Sanitationsewage, Waterdrainage, Landtenure, Housing, Sanitationsewage, Waterdrainage, Landtenure, Housing","1,996",500,None,"declared, legal, protected",N/A,NA,1:1,N/A,N/A,N/A,N/A,yes,40,0.5,Common area inside settlement,gravel roads,Walking,N/A,N/A,N/A,good,N/A,"TB, HIV/AIDS, High blood pressure, Diabetes",yes,30,no,Unknown,no,Unknown,Churches
https://sdinet.org/settlement/163997/10366680,Namibia,Opuwo,Ouranda,1977,05-10-2017,History: The location comes as a result of people who come from villages because of nearby services and later on they have form informal settlement,"Housing, Electricity, Landtenure, Sanitationsewage, Waterdrainage, Housing, Electricity, Landtenure, Sanitationsewage, Waterdrainage","2,880",486,medium,"undeclared, illegal, unprotected",N/A,NA,1:1,N/A,5,N/A,1:576,no,50,N/A,Disorganized deposit,dirt paths,"Taxi, Walking",N/A,Yes,month,none,month,"Malaria, Cholera, Flue, Tb",no,Unknown,no,Unknown,yes,30 minutes to 1 hour,Informalmarkets
https://sdinet.org/settlement/163997/10366717,Namibia,Oshakati,Kandjengedi,1979,12-01-2018,"History: As it is mentioned already that it was named after an old man, When got older and older, he started dividing the land to his children in the 1984s and its population started increasing day by day.","Landtenure, Landtenure, Sanitationsewage, Electricity, Housing, Landtenure, Landtenure, Sanitationsewage, Electricity, Housing","12,000",3061,None,"declared, legal, protected",N/A,NA,1:1,Ecosan,N/A,N/A,N/A,yes,250,3,Common area inside settlement,dirt paths,Taxi,N/A,N/A,N/A,N/A,N/A,"Malaria, TB, Measles, Diarhoea",yes,Unknown,yes,Unknown,yes,Unknown,Churches
https://sdinet.org/settlement/163997/10366761,Namibia,Okongo,"Tulitungeni,Olukanda LameLosalia",1989,14-12-2017,History: The settlement was first having two bars and now they keep on increasing,"Landtenure, Waterdrainage, Housing, Sanitationsewage, Electricity, Landtenure, Waterdrainage, Housing, Sanitationsewage, Electricity","1,800",450,medium,resettled,N/A,7,1:257,Pit latrine,N/A,N/A,N/A,yes,250,N/A,Individual bins,dirt paths,"Taxi, Motorbike, Walking",1,Yes,other,bad,never,"TB, Manutrion, Hiv/Aids, Malaria",yes,15,yes,16,yes,15,"Informalmarkets, Carrepair"
https://sdinet.org/settlement/163997/10366688,Namibia,Tsandi,Alutunda,1980,15-01-2018,"History: It is near by their homestead, for business and accommodation.","Landtenure, Waterdrainage, Sanitationsewage, Housing, Electricity, Landtenure, Waterdrainage, Sanitationsewage, Housing, Electricity",62,34,None,"declared, legal, protected",1,"1,Broken toilets:0",1:62,Flush,4,"6,",1:6,yes,300,2,Common area outside settlement,dirt paths,Walking,6,Yes,year,good,month,N/A,yes,45,yes,45,yes,45,"Generalshops, Foodshops, Clothingshops, Churches, Communications, Carrepair"
https://sdinet.org/settlement/163997/10366686,Namibia,Windhoek,Okahandja Park,1992,07-03-2015,History: People moved hear because the land was not accommodated in 1997 only 2 tap 5 dollar per month for water,"Electricity, Waterdrainage, Sanitationsewage, Other, Housing, Electricity, Waterdrainage, Sanitationsewage, Other, Housing","12,480",4168,None,"declared, legal, protected",N/A,NA,"1:2,496",N/A,11,N/A,"1:2,496",no,100,1,Disorganized deposit,dirt paths,"Bus, Taxi, Walking",5,Yes,other,none,other,"Tb, Hiv, Malaria, Diarrhrea",yes,more than 1 hour,yes,more than 1 hour,yes,more than 1 hour,"Playground, Informalmarkets, Churches"
https://sdinet.org/settlement/163997/10366765,Namibia,Windhoek,Goreangab Settlement,2010,17-02-2016,History: Since we come in this location we don't have toilets electricity but we have this advantage that our settlement it is not overcrowded its open and easy to be developed,"Tenuresecurity, Waterdrainage, Sanitationsewage, Housing, Electricity, Tenuresecurity, Waterdrainage, Sanitationsewage, Housing, Electricity","5,150",1031,None,resettled,N/A,NA,1:1,N/A,6,N/A,1:858,no,149,N/A,Disorganized deposit,dirt paths,"Bus, Taxi, Bicycle",2,Yes,month,good,year,"Hiv, Tb, Diarrhrea, Other",yes,more than 1 hour,yes,more than 1 hour,yes,more than 1 hour,"Generalshops, Informalmarkets, Foodshops, Churches"
https://sdinet.org/settlement/163997/30881444,Namibia,22035_katima Mulilo,Makaravani east,1978,20-06-2018,History: It came when the construction company camped around here when they turned it into a campsite constructing telecom lines.,"Waterdrainage, Electricity, Housing, Other, Other, Waterdrainage, Electricity, Housing, Other, Other","3,962",572,None,N/A,N/A,NA,1:1,N/A,11,N/A,1:360,no,50,N/A,Disorganized deposit,dirt paths,"Car, Taxi, Walking",N/A,Yes,quaterly,bad,year,"Malaria, Hiv, Tb, Other",yes,Unknown,yes,more than 1 hour,yes,more than 1 hour,Carrepair
https://sdinet.org/settlement/163997/10366766,Namibia,Okahao,Omatsali Gakeendali,1964,14-12-2017,History: THIS SETTLEMENT WAS ESTABLISHED BY MR PHILLIPUS SHIIMBI IN 1964 WITH ONLY ONE SHOP AND PEOPLE STARTED COMING IN ONE BY ONE.,"Landtenure, Housing, Waterdrainage, Electricity, Sanitationsewage, Landtenure, Housing, Waterdrainage, Electricity, Sanitationsewage",342,120,None,"declared, legal, protected",N/A,4,1:57,Pit latrine,218,"3,",1:114,yes,450,1,Common area inside settlement,dirt paths,"Bicycle, Walking",N/A,N/A,month,average,N/A,"HIV/AIDS, TB, MENTAL DISEASE, MALARIA",yes,Unknown,yes,30 minutes to 1 hour,yes,30 minutes to 1 hour,"Furnitureshops, Carrepair"
https://sdinet.org/settlement/163997/10366764,Namibia,Outjo,Soweto 1,2016,14-01-2018,History: It was the pushes which we clean ourselves and in the begining  we buy water at the nearest water point,"Waterdrainage, Sanitationsewage, Housing, Other, Other, Waterdrainage, Sanitationsewage, Housing, Other, Other","1,225",246,None,"declared, legal, protected",N/A,NA,1:1,N/A,N/A,N/A,N/A,yes,N/A,N/A,Individual bins,dirt paths,Taxi,10,Yes,never,good,year,"BP, Ashma, Ramatics, Aids",N/A,Unknown,yes,more than 1 hour,yes,more than 1 hour,"Informalmarkets, Churches"
https://sdinet.org/settlement/163997/10366769,Namibia,Oshikango,17 Location,1970,15-12-2017,History: The first people came here because the settlements / village  where they use to  live got  flooded,"Housing, Waterdrainage, Sanitationsewage, Waterdrainage, Other, Housing, Waterdrainage, Sanitationsewage, Waterdrainage, Other","1,500",500,high,"declared, legal, protected",N/A,NA,1:1,N/A,N/A,N/A,N/A,no,200,N/A,Disorganized deposit,dirt paths,"Taxi, Walking",9,Yes,other,good,other,"Malaria, Diarrhea, Flu & cold, Manutlation",yes,more than 1 hour,yes,more than 1 hour,yes,more than 1 hour,Churches
https://sdinet.org/settlement/163997/28320222,Namibia,22030_divundu,Mahango,1970,23-04-2018,History: At first the place had bushes all over and houses were very few . it only had two houses.,"Tenuresecurity, Waterdrainage, Sanitationsewage, Housing, Electricity, Tenuresecurity, Waterdrainage, Sanitationsewage, Housing, Electricity","2,000",555,None,resettled,19,"19,Broken toilets:0",1:105,N/A,100,"100,",1:20,yes,4055,1,Disorganized deposit,gravel roads,"Taxi, Bicycle, Walking",4,Yes,bi_annually,good,bi_annually,"Malaria, Tb, Diarrhrea, Hiv",yes,Unknown,yes,more than 1 hour,yes,more than 1 hour,"Churches, Carrepair"
https://sdinet.org/settlement/163997/28275178,Namibia,22031_oniipa,Okalunga,1969,20-04-2018,"History: It was found in 1969, it was an area surrounded by palm trees","Sanitationsewage, Tenuresecurity, Electricity, Waterdrainage, Housing, Sanitationsewage, Tenuresecurity, Electricity, Waterdrainage, Housing",285,69,None,"declared, legal, protected",5,"5,Broken toilets:0",1:57,Flush,10,"10,",1:29,yes,311,N/A,Disorganized deposit,dirt paths,"Taxi, Walking",N/A,N/A,never,average,never,"Tb, Hiv, Malaria, Diarrhrea",yes,more than 1 hour,yes,more than 1 hour,yes,more than 1 hour,N/A
https://sdinet.org/settlement/163997/10366718,Namibia,Eenhana,Tulipamwe,1995,14-01-2018,History: First when they came to settle there open market was build. Then Municipality brought water and electricity as well as houses and small businesses.,"Housing, Sanitationsewage, Electricity, Landtenure, Waterdrainage, Housing, Sanitationsewage, Electricity, Landtenure, Waterdrainage",666,228,medium,"declared, legal, protected",100,"100,Broken toilets:0",1:6,Flush,100,"150,",1:3,yes,50,1,Common area inside settlement,gravel roads,"Taxi, Walking",1,Yes,month,good,month,"Cough, Malaria, Chicken pox, Measles",yes,30,yes,30,yes,30,"Informalmarkets, Foodshops, Furnitureshops, Churches, Communications"
